Document Name: plaat1-gapdh17jun16 
Plate Type: Standard Curve
User: all.visser

Document Information

Operator: all.visser
Run Date: Friday, June 17, 2016 15:08:37
Last Modified: Wednesday, June 22, 2016 08:54:25
Instrument Type: Applied Biosystems 7300 Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,48.0 °C,15:00,Auto,,
2,1,95.0 °C,10:00,Auto,,
3,40,95.0 °C,0:15,Auto,,
,,60.0 °C,0:45,Auto,,
Standard 7300 Mode
Data Collection :  Stage 3 Step 2
PCR Volume: 50 µL,

Standard Curve Information
Detector Name,Slope,Intercept,R2,Number of Standards,Number of Unknowns
GAPDH (MX1),-3.540596,41.589924,0.999339,16,50

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty
F1,4543,GAPDH (MX1),Unknown,22.3654,0.09842.68993e+005,2.68993e+005,2.81736e+005,1.80216e+004
F2,4543,GAPDH (MX1),Unknown,22.2262,0.09842.9448e+005,2.9448e+005,2.81736e+005,1.80216e+004
F3,4551,GAPDH (MX1),Unknown,20.4206,0.439.52874e+005,9.52874e+005,7.97296e+005,2.2002e+005
F4,4551,GAPDH (MX1),Unknown,21.0285,0.436.41719e+005,6.41719e+005,7.97296e+005,2.2002e+005
F5,4559,GAPDH (MX1),Unknown,20.9767,0.05296.63686e+005,6.63686e+005,6.47931e+005,2.22801e+004
F6,4559,GAPDH (MX1),Unknown,21.0515,0.05296.32177e+005,6.32177e+005,6.47931e+005,2.22801e+004
F7,ijklijn 1e4,GAPDH (MX1),Standard,27.4455,0.02381.0e+004,1.0e+004,,
F8,ijklijn 1e4,GAPDH (MX1),Standard,27.4792,0.02381.0e+004,1.0e+004,,
G1,4544,GAPDH (MX1),Unknown,22.2655,0.03622.87052e+005,2.87052e+005,2.91904e+005,6.86282e+003
G2,4544,GAPDH (MX1),Unknown,22.2144,0.03622.96757e+005,2.96757e+005,2.91904e+005,6.86282e+003
G3,4552,GAPDH (MX1),Unknown,20.5605,0.3418.69977e+005,8.69977e+005,7.52982e+005,1.65456e+005
G4,4552,GAPDH (MX1),Unknown,21.0423,0.3416.35986e+005,6.35986e+005,7.52982e+005,1.65456e+005
G5,4560,GAPDH (MX1),Unknown,21.317,0.1725.31911e+005,5.31911e+005,5.7738e+005,6.43037e+004
G6,4560,GAPDH (MX1),Unknown,21.0744,0.1726.2285e+005,6.2285e+005,5.7738e+005,6.43037e+004
G7,ijklijn 1e3,GAPDH (MX1),Standard,30.7472,0.2031.0e+003,1.0e+003,,
G8,ijklijn 1e3,GAPDH (MX1),Standard,31.0341,0.2031.0e+003,1.0e+003,,
H1,4545,GAPDH (MX1),Unknown,21.8362,0.4973.79487e+005,3.79487e+005,4.89548e+005,1.55648e+005
H2,4545,GAPDH (MX1),Unknown,21.1328,0.4975.99608e+005,5.99608e+005,4.89548e+005,1.55648e+005
H3,4553,GAPDH (MX1),Unknown,20.6725,0.3478.08884e+005,8.08884e+005,6.98299e+005,1.5639e+005
H4,4553,GAPDH (MX1),Unknown,21.1636,0.3475.87715e+005,5.87715e+005,6.98299e+005,1.5639e+005
H5,4561,GAPDH (MX1),Unknown,20.723,0.05577.8274e+005,7.8274e+005,7.63207e+005,2.76228e+004
H6,4561,GAPDH (MX1),Unknown,20.8017,0.05577.43675e+005,7.43675e+005,7.63207e+005,2.76228e+004
H7,ijklijn 1e2,GAPDH (MX1),Standard,34.2267,0.211100,100,,
H8,ijklijn 1e2,GAPDH (MX1),Standard,34.5248,0.211100,100,,
